"DOMAIN 1: Ease of Regulatory Clarity, Predictability & Accessibility",,Andhra Pradesh (Response),Andhra Pradesh (Score),Arunachal Pradesh (Response),Arunachal Pradesh (Score),Assam (Response),Assam (Score),Bihar (Response),Bihar (Score),Chhatisgarh (Response),Chhatisgarh (Score),Delhi (Response),Delhi (Score),Goa (Response),Goa (Score),Gujarat (Response),Gujarat (Score),Haryana (Response),Haryana (Score),Himachal Pradesh (Response),Himachal Pradesh (Score),Jammu and Kashmir (Response),Jammu and Kashmir (Score),Jharkhand (Response),Jharkhand (Score),Karnataka (Response),Karnataka (Score),Kerala (Response),Kerala (Score),Madhya Pradesh (Response),Madhya Pradesh (Score),Maharashtra (Response),Maharashtra (Score),Manipur (Response),Manipur (Score),Meghalaya (Response),Meghalaya (Score),Mizoram (Response),Mizoram (Score),Nagaland (Response),Nagaland (Score),Odisha (Response),Odisha (Score),Punjab (Response),Punjab (Score),Rajasthan (Response),Rajasthan (Score),Sikkim (Response),Sikkim (Score),Tamil Nadu (Response),Tamil Nadu (Score),Telangana (Response),Telangana (Score),Tripura (Response),Tripura (Score),Uttar Pradesh (Response),Uttar Pradesh (Score),Uttarakhand (Response),Uttarakhand (Score),West Bengal (Response),West Bengal (Score)
Availability of laws in regional language(s),"Yes=1, No=0, Limited=0.5",Limited,0.5,No,0,Limited,0.5,Limited,0.5,No,0,Limited,0.5,No,0,Yes,1,Yes,1,Limited,0.5,Limited,0.5,Yes,1,No,0,Yes,1,Limited,0.5,Limited,0.5,No,0,No,0,No,0,Yes,1,Limited,0.5,Limited,0.5,Yes,1,Yes,1,No,0,Limited,0.5,Yes,1,Yes,1,Limited,0.5,No,0
Availability of unified portal/system,"Yes=1, No=0, Limited=0.5",Yes,1,No,0,No,0,No,0,Limited,0.5,Limited,0.5,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,No,0,Yes,,No,0,Yes,1,Yes,1,Limited,0.5,No,0,Yes,1,Yes,1,Limited,0.5,Limited,0.5,No,0
Presence of announcements/updates section,"Yes=1, No=0, Limited=0.5",Yes,1,Yes,1,Limited,0.5,Yes,1,Yes,1,No,0,Limited,0.5,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Limited,0.5,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,Limited,0.5,No,0,Limited,0.5,Yes,1,No,0,Limited,0.5,Limited,0.5
Availability of query/feedback submission mechanism,"Yes=1, No=0, Limited=0.5",Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Limited,0.5,Yes,1,No,0,Yes,1,Limited,0.5,Yes,1,No,0,Yes,1,No,0
Availability of helpline/contact information,"Yes=1, No=0, Limited=0.5",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,,Yes,1,No,0,Yes,1,Yes,1,No,0,No,0,No,0,Yes,1,Limited,0.5,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1
"Prescribed timeline within which the fee regulatory committee will make its decision (Yes, No, Maybe, Not Mentioned) ","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Procedural Predictability,,,0.3092857143,,0.2735714286,,0.3046428571,,0.3035714286,,0.1392857143,,0.3332142857,,0.2260714286,,0.1546428571,,0.2796428571,,0.2142857143,,0.2975,,0.1785714286,,0.07142857143,,0.3760714286,,0.225,,0.2414285714,,0.2928571429,,0.1071428571,,0.2392857143,,0.2082142857,,0.2142857143,,0.2142857143,,0.125,,0.1785714286,,0.2678571429,,0.3035714286,,0.15,,0.1857142857,,0.1321428571,,0.2035714286
Visibility of date of passing of state education laws ,"Yes=1, No=0",Yes,1,Yes,1,Yes,1,Yes,1,Limited ,0.5,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Limited ,0.5,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1
If the updates/news have been recently published ,"Yes=1, No=0, Limited=0.5",Yes,1,Yes,1,No,0,Yes,1,Yes,1,Limited,0.5,No,0,Yes,1,Yes,1,Yes,1,Limited,0.5,Yes,1,Yes,1,Yes,1,No,0,Limited,0.5,Limited,0.5,Yes,1,Limited,0.5,No,0,No,0,Yes,1,Limited,0.5,Yes,1,No,0,No,0,No,0,No,0,Limited,0.5,No,0
 Validity of permission to establish (<3years/Conditional/Lifetime/Not Mentioned),"Lifetime=1, <3 Year=0, Conditional=0.5, Not Mentioned= 0",<3 years,0,Not mentioned ,0,<3 years,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,0,Not Mentioned ,0,<3 years,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,< 3 years,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,<3 years,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Time limitation for permission to dispose/process the application (<45 Days, <90 days/ No time limits/ Not mentioned)","<45 Days=1, <90 days=0.5, No time limits=0, Not Mentioned=0",<90 days,0.5,Not mentioned ,0,Not mentioned ,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,0,Not Mentioned ,0,<90 days,0.5,Not Mentioned,0,<45 days,1,Not Mentioned,0,Not Mentioned,0,<45 days,1,Not Mentioned,0,Yes,,4 months,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,No Time limits,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Consequences for the lapse of time period to process the application for permission to establish (Deemed Approval/Refiling /Rejection/Not Mentioned).,"Deemed Approval=1, Refiling=0.5, Rejection=0, Not Mentioned=0",Not Mentioned,0,Not mentioned ,0,Not mentioned ,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,0,Not Mentioned ,0,Deemed Approval,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Authority for scrutinising applications for permission to establish schools (Local Level Officer/District Level Officer/State Level Officer/Not Mentioned),"Local Level Officer=1, District Level Officer=0.5, State Level Officer=0, Not Mentioned=0",Not Mentioned,0,Not mentioned ,0,State Level Officer,0,District Level Officer,0.5,Not Mentioned,0,State Level Officer,0,State Level Officer ,0,State Level Officer ,0,State Level Officer ,0,Not Mentioned,0,District level officer,0.5,Not Mentioned,0,Not Mentioned,0,State Level Officer ,0,Not Mentioned,0,Yes,,Not Mentioned,0,State Level Officer ,0,State Level Officer,0,State Level Officer,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,District Level Officer,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Requirement of renewal of application for permission to establish (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Not Mentioned=0, Maybe=0.5",Yes,0,Not mentioned ,0,Not mentioned ,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,0,Not Mentioned ,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"If Authority for approving Upgradation/Expansion is specified (Local Level Officer/District Level Officer/State Level Officer, Not Mentioned)","Local Level Officer=,1 District Level Officer=0.66, State Level Officer=0.33, Not Mentioned=0",Not Mentioned ,0,Not Mentioned ,0,State Level Officer,0.33,District Level Officer,,Not Mentioned,0,State Level Officer,0.33,State Level Officer,0.33,State Level Officer,0.33,State Level Officer,0.33,District Level Officer,,State Level Officer,0.33,Not Mentioned,0,Not Mentioned,0,State Level Officer,0.33,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,State Level Officer ,,Not Mentioned,0,State Level Officer,0.33,Unclear,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,,Not Mentioned,0,District Level Officer,,District Level Officer,,Yes,
"Time limitation for disposal of applications for upgradation of schools (<45 Days, <90 days, <120 days, Not mentioned)","<45 Days=1, <90 days=0.66, <120 days =0.33 Not Mentioned=0",<90 Days,0.66,<90 days,0.66,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,< 45 days,,Not Mentioned,,<90 days,0.66,< 4 months,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Yes,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Yes,
Existence of a formal checklist/criteria for recognition (Yes/No/Maybe/Not Mentioned),"Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1
Existence of a prescribed procedure to get recognition (Yes/No/Maybe/Not Mentioned) ,"Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1
"Existence of a prescribed inspection procedure after recognition (Yes, No, Maybe/Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not mentioned ,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0
Responsibility of schools to bear inspection costs (Yes/No/May/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Allowance to conduct special inspections (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5
"Competent authority/authorities for inspecrion- (Director as a sole authority for inspection, Any other authority as the sole authority for inspection (eg -Sub-Inspector, Director of Medical Services or Health Officer, Executive Engineer of the Public Health Engineering Department, The District Transport Officer, State government or Director to authorise a team for inspection (experts on subjects taught in schools; district-level team consisting of nominees from Board, Council, District Inspectors, district level inspectors, accounts perspon, physical education etc, (Nominee of Board, Not mentioned)  ","1. Single / Central Authority (Director as a sole authority for inspection, District Education Officer, Any Other Authority)= 0.2

2. Mid-Level Administrative Authorities (Deputy Director of Education, District Education Officer, District Inspector of Schools, Director, Deputy Director, Joint Director)=0.4

3. Multi-Level Administrative Committees (Divisional Chairman, Education Inspector/Officer, Regional Deputy Director, Deputy Director of Education, Director)=0.6

4. Representative Bodies (Director of Education, Educationists, Civil Society Representatives, Media, Government Representatives, District Inspector, Nominee of Board, Nominee of Council, Nominee of Madrasah)=0.8

5. Discretionary Power/Not Mentioned = 0

6. No Inspection Required=1",Not Mentioned,0,Not Mentioned ,0,"Central Authority

(Director as a sole authority for inspection)",0.2,Not Mentioned,0,"Mid-Level Administrative Authority

(District Education Officer)",0.4,Not Mentioned,0,Not Mentioned,0,"Discretionary Power

(Any Other Authority)",0,"Discretionary Power

(Any Other Authority)",0,Discretionary Power (Any Other Authority),0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,"Central Authority and Mid-Level Admin Authorities 

(Deputy Director of Education, District Education Officer)",0.2,"Representative Bodies

(Educationists, civil society representatives, media and government representatives)",0.8,"Multi Level Authority, (Divisional Chairman, Education Inspector/Officer, or Regional Deputy Director, Deputy Director of Education, Director)",0.6,"Central Authority, Representative Bodies,  (Director of Education, Educationists, Civil Society Representatives, Media, and Government representatives)",0.2,Not Mentioned,0,Central Authority (Director),0.2,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Central Authority (District Education Officer),0.2,"Central Authority, Mid-Level Admin Authority, (District Inspector of school, Director, Deputy Director, Joint Director)",0.2,Central Authority (Director as a sole authority for inspection),0.2,"Central Authority, Representative Bodies (District Inspector, Nominee of Board, Nominee of Council, Nominee of Madrasah)",0.2
If the procedure for reimbursements under Section 12 of the RTE exists (Yes/No/Maybe/Not Mentioned),"Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1
Existence of statutory provisions for the timely reimbursement to Pvt. Schools (Yes/No/Maybe/Not Mentioned),"Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Not mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Yes,1
Consequences for untimely reimbursement to Pvt. Schools (Penalties/Warning/Maybe/Not Mentioned),"Penalties=1, Warning=0.66, Maybe=0.33, Not Mentioned=0",Not Mentioned,0,Not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Prescribed time limit for renewal of Board affiliation (1 Month/6 Months/1 Year/Not Mentioned),"1 Month=1, 6 Months=0.5, 1 Year=0 Not Mentioned=0",Not mentioned ,0,Not mentioned ,0,Not mentioned ,,Not mentioned ,,Not mentioned ,,Not Mentioned,, Not Mentioned,, Not Mentioned,,2 Year,,Not Mentioned,,Not Mentioned,,1 Year,0,Not Mentioned,0,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,,Not Mentioned,
"Authority empowered to order shut down schools and procedure involved (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"If schools are shut down after take over of property (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Requirement to provide prior notice (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Existence of Opportunity for the school to be heard (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Yes,0,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Requirement of a reasoned/written order (Yes, No, Maybe, Not mentioned)","Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Existence of a mechanism for parents to file complaints regarding fees or related practices (Yes, No, Maybe, Not Mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0, Not Mentioned,,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,No,1,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
